"BeatLast","HaiCat","The winner is BeatLast"
"999","1","0"
"paper","4647224","rock","5070398","BeatLast won"
"paper","4881834","rock","4647176","BeatLast won"
"paper","4794217","rock","5182701","BeatLast won"
"paper","5251604","rock","5292589","BeatLast won"
"paper","4746476","rock","5153047","BeatLast won"
"paper","4628567","rock","5026609","BeatLast won"
"paper","5297063","rock","5250543","BeatLast won"
"paper","4519546","rock","4254242","BeatLast won"
"paper","5821172","rock","5863217","BeatLast won"
"paper","4581891","rock","4969570","BeatLast won"
"paper","4610636","rock","5011024","BeatLast won"
"paper","5150983","rock","5190023","BeatLast won"
"paper","5563273","rock","5608441","BeatLast won"
"paper","8427284","rock","8180322","BeatLast won"
"paper","4978392","rock","5404600","BeatLast won"
"paper","4570245","rock","4964867","BeatLast won"
"paper","4619007","rock","5019791","BeatLast won"
"paper","4703584","rock","5088805","BeatLast won"
"paper","4806837","rock","5003399","BeatLast won"
"paper","4488472","rock","4894503","BeatLast won"
"paper","4622832","rock","5010382","BeatLast won"
"paper","4737181","rock","5125176","BeatLast won"
"paper","4873872","rock","4640847","BeatLast won"
"paper","4805188","rock","5192979","BeatLast won"
"paper","4743743","rock","5134059","BeatLast won"
"paper","4896925","rock","4658137","BeatLast won"
"paper","4982974","rock","4745805","BeatLast won"
"paper","4769205","rock","5161707","BeatLast won"
"paper","4633458","rock","5023671","BeatLast won"
"paper","4733882","rock","5125112","BeatLast won"
"paper","4702154","rock","5088354","BeatLast won"
"paper","4956882","rock","4718897","BeatLast won"
"paper","4142920","rock","4097246","BeatLast won"
"paper","5887678","rock","6284609","BeatLast won"
"paper","4703067","rock","5101613","BeatLast won"
"paper","3170120","rock","5523637","BeatLast won"
"paper","4274529","rock","4673106","BeatLast won"
"paper","5272677","rock","5227938","BeatLast won"
"paper","4984483","rock","4699458","BeatLast won"
"paper","4683684","rock","5198028","BeatLast won"
"paper","4596824","rock","4984639","BeatLast won"
"paper","3450508","rock","3846705","BeatLast won"
"paper","6138089","rock","5882831","BeatLast won"
"paper","4968032","rock","4720792","BeatLast won"
"paper","6371460","rock","6112790","BeatLast won"
"paper","3268856","rock","3655243","BeatLast won"
"paper","4722607","rock","5116078","BeatLast won"
"paper","4718243","rock","5103076","BeatLast won"
"paper","4752181","rock","5142847","BeatLast won"
"paper","4920162","rock","4682807","BeatLast won"
"paper","4691861","rock","5094188","BeatLast won"
"paper","4599719","rock","4984257","BeatLast won"
"paper","4731501","rock","5125522","BeatLast won"
"paper","4721845","rock","5107018","BeatLast won"
"paper","4754040","rock","5155671","BeatLast won"
"paper","4714839","rock","5101449","BeatLast won"
"paper","4733860","rock","5131033","BeatLast won"
"paper","4759274","rock","4802879","BeatLast won"
"paper","5775270","rock","5814604","BeatLast won"
"paper","4908116","rock","4669925","BeatLast won"
"paper","3909190","rock","4311371","BeatLast won"
"paper","5542668","rock","5942606","BeatLast won"
"paper","3373978","rock","3126436","BeatLast won"
"paper","4556647","rock","4948081","BeatLast won"
"paper","3273013","rock","3666790","BeatLast won"
"paper","4675186","rock","5068312","BeatLast won"
"paper","5248597","rock","5288540","BeatLast won"
"paper","4892497","rock","4661555","BeatLast won"
"paper","4557338","rock","4977620","BeatLast won"
"paper","4892828","rock","5281236","BeatLast won"
"paper","5311739","rock","5350610","BeatLast won"
"paper","4880843","rock","4648398","BeatLast won"
"paper","4808041","rock","5194273","BeatLast won"
"paper","4741863","rock","5167011","BeatLast won"
"paper","4697024","rock","5082315","BeatLast won"
"paper","11301411","rock","10793478","BeatLast won"
"paper","4523050","rock","4917376","BeatLast won"
"paper","4996116","rock","4756114","BeatLast won"
"paper","4727632","rock","5112043","BeatLast won"
"paper","4737086","rock","5121876","BeatLast won"
"paper","4079452","rock","4514619","BeatLast won"
"paper","5312850","rock","5691989","BeatLast won"
"paper","4774741","rock","5166708","BeatLast won"
"paper","5251147","rock","5211594","BeatLast won"
"paper","4764136","rock","5155522","BeatLast won"
"paper","3079438","rock","3296000","BeatLast won"
"paper","7014240","rock","7054726","BeatLast won"
"paper","4923551","rock","4684675","BeatLast won"
"paper","4807443","rock","5241722","BeatLast won"
"paper","4923179","rock","4673637","BeatLast won"
"paper","4739641","rock","5133044","BeatLast won"
"paper","4777589","rock","6716414","BeatLast won"
"paper","5435172","rock","5822681","BeatLast won"
"paper","4726640","rock","5111494","BeatLast won"
"paper","2994656","rock","6583981","BeatLast won"
"paper","3367281","rock","3765055","BeatLast won"
"paper","4583731","rock","4974795","BeatLast won"
"paper","4764442","rock","5210595","BeatLast won"
