"HaiCat","Poop","The winner is Poop"
"0","999","1"
"rock","12308365","paper","12770479","Poop won"
"rock","11367486","paper","11799681","Poop won"
"rock","13732334","paper","13743351","Poop won"
"rock","15686658","paper","16133986","Poop won"
"rock","9490352","paper","9937780","Poop won"
"rock","11897984","paper","12389130","Poop won"
"rock","14169433","paper","14619185","Poop won"
"rock","9404282","paper","9846492","Poop won"
"rock","8711072","paper","9180161","Poop won"
"rock","9079469","paper","9521946","Poop won"
"rock","7905007","paper","8401148","Poop won"
"rock","8667641","paper","9156982","Poop won"
"rock","11344232","paper","11799107","Poop won"
"rock","9276713","paper","9713929","Poop won"
"rock","12653402","paper","13147808","Poop won"
"rock","16072465","paper","16530466","Poop won"
"rock","9496342","paper","9939385","Poop won"
"rock","12600096","paper","13084014","Poop won"
"rock","9982952","paper","10429647","Poop won"
"rock","9493317","paper","9937561","Poop won"
"rock","8606190","paper","9104265","Poop won"
"rock","10815694","paper","11340476","Poop won"
"rock","10074297","paper","10124034","Poop won"
"rock","8954130","paper","8964882","Poop won"
"rock","8894690","paper","9374998","Poop won"
"rock","8173628","paper","8612495","Poop won"
"rock","11068783","paper","11523251","Poop won"
"rock","9656164","paper","10162784","Poop won"
"rock","9755339","paper","9765916","Poop won"
"rock","9221910","paper","9232685","Poop won"
"rock","8553486","paper","9037865","Poop won"
"rock","11707397","paper","11145141","Poop won"
"rock","9371994","paper","9814489","Poop won"
"rock","11544860","paper","11983287","Poop won"
"rock","11915286","paper","13089343","Poop won"
"rock","11740234","paper","12181122","Poop won"
"rock","9372211","paper","9848911","Poop won"
"rock","12521667","paper","13019376","Poop won"
"rock","8114649","paper","8549240","Poop won"
"rock","8170144","paper","8651913","Poop won"
"rock","11693354","paper","13533878","Poop won"
"rock","12919861","paper","13540854","Poop won"
"rock","9418208","paper","9429461","Poop won"
"rock","8387494","paper","8850678","Poop won"
"rock","8821569","paper","9385863","Poop won"
"rock","7881668","paper","11680397","Poop won"
"rock","10373493","paper","10425232","Poop won"
"rock","8187127","paper","8627112","Poop won"
"rock","8507728","paper","8955900","Poop won"
"rock","7912366","paper","11747592","Poop won"
"rock","12532279","paper","13029083","Poop won"
"rock","9724976","paper","9736028","Poop won"
"rock","9255230","paper","9266242","Poop won"
"rock","9055775","paper","9066680","Poop won"
"rock","8270517","paper","8710718","Poop won"
"rock","7142318","paper","7578623","Poop won"
"rock","10021401","paper","10531031","Poop won"
"rock","8798749","paper","8809663","Poop won"
"rock","7731652","paper","7742283","Poop won"
"rock","14024202","paper","14514762","Poop won"
"rock","12202861","paper","12735500","Poop won"
"rock","8338845","paper","8792595","Poop won"
"rock","8505963","paper","8979343","Poop won"
"rock","8261362","paper","8730937","Poop won"
"rock","8319278","paper","8759504","Poop won"
"rock","8525494","paper","8965982","Poop won"
"rock","9930880","paper","10410418","Poop won"
"rock","12671596","paper","12740870","Poop won"
"rock","10743605","paper","11183429","Poop won"
"rock","12148195","paper","12197402","Poop won"
"rock","15103702","paper","15156698","Poop won"
"rock","10154150","paper","10592173","Poop won"
"rock","8611432","paper","9112588","Poop won"
"rock","9220242","paper","9662187","Poop won"
"rock","8107539","paper","8552456","Poop won"
"rock","8515553","paper","9004728","Poop won"
"rock","11517085","paper","11994341","Poop won"
"rock","9091838","paper","9532327","Poop won"
"rock","13246817","paper","13722739","Poop won"
"rock","14582337","paper","15027781","Poop won"
"rock","15022416","paper","15086012","Poop won"
"rock","9605007","paper","10118759","Poop won"
"rock","8937975","paper","9388038","Poop won"
"rock","14664158","paper","14726812","Poop won"
"rock","8794394","paper","9311619","Poop won"
"rock","11509358","paper","11960328","Poop won"
"rock","9776328","paper","10209485","Poop won"
"rock","11883029","paper","12362401","Poop won"
"rock","14968664","paper","14979875","Poop won"
"rock","11439855","paper","11875858","Poop won"
"rock","10109979","paper","12024074","Poop won"
"rock","6374594","paper","6330754","Poop won"
