"Avalanch","hummingbird","Clients TIE!"
"0","1","999"
"rock","5577761","rock","585268","Tie"
"rock","5342978","rock","584018","Tie"
"rock","5323319","rock","613999","Tie"
"rock","5318201","rock","579367","Tie"
"rock","5351442","rock","584592","Tie"
"rock","5359465","rock","639971","Tie"
"rock","5998343","rock","1343506","Tie"
"rock","3520237","rock","593160","Tie"
"rock","5307273","rock","603311","Tie"
"rock","5537385","rock","586341","Tie"
"rock","5476176","rock","585558","Tie"
"rock","4481059","rock","669837","Tie"
"rock","5313708","rock","583709","Tie"
"rock","9361285","rock","2256994","Tie"
"rock","5150684","rock","559066","Tie"
"rock","5325204","rock","586784","Tie"
"rock","5303588","rock","628403","Tie"
"rock","5340880","rock","601929","Tie"
"rock","5286226","rock","575130","Tie"
"rock","4736615","rock","593617","Tie"
"rock","5874696","rock","594940","Tie"
"rock","5318366","rock","577984","Tie"
"rock","5569580","rock","859003","Tie"
"rock","5264603","rock","596535","Tie"
"rock","5495045","rock","610792","Tie"
"rock","5260820","rock","581276","Tie"
"rock","5544305","rock","592094","Tie"
"rock","5273779","rock","570258","Tie"
"rock","4211996","rock","582249","Tie"
"rock","6446604","rock","590648","Tie"
"rock","5317153","rock","704659","Tie"
"rock","5326449","rock","557977","Tie"
"rock","5317585","rock","596475","Tie"
"rock","5515611","rock","549455","Tie"
"rock","5476505","rock","547386","Tie"
"rock","5266930","rock","628992","Tie"
"rock","3697340","rock","545412","Tie"
"rock","5780253","rock","662201","Tie"
"rock","6138890","rock","561837","Tie"
"rock","5190809","rock","687436","Tie"
"rock","5314441","rock","581461","Tie"
"rock","13088278","rock","715744","Tie"
"rock","10306067","rock","689372","Tie"
"rock","4112075","rock","589856","Tie"
"rock","5239141","rock","639647","Tie"
"rock","5518422","rock","577542","Tie"
"rock","5338773","rock","595595","Tie"
"rock","5258194","rock","596365","Tie"
"rock","5456584","rock","669012","Tie"
"rock","5232828","rock","595769","Tie"
"rock","5322835","rock","580968","Tie"
"rock","5315180","rock","638429","Tie"
"rock","5559515","rock","557445","Tie"
"rock","5068518","rock","578892","Tie"
"rock","5322396","rock","549915","Tie"
"rock","4816545","rock","615258","Tie"
"rock","5658627","rock","551272","Tie"
"rock","5175749","rock","555692","Tie"
"rock","5312487","rock","579490","Tie"
"rock","3792178","rock","635084","Tie"
"rock","6864414","rock","574991","Tie"
"rock","5626522","rock","574318","Tie"
"rock","5147195","rock","648423","Tie"
"rock","3691076","rock","600949","Tie"
"rock","4876323","rock","625513","Tie"
"rock","5718136","rock","633349","Tie"
"rock","5533671","rock","600083","Tie"
"rock","5461696","rock","574398","Tie"
"rock","5282890","rock","613091","Tie"
"rock","5305424","rock","600268","Tie"
"rock","5326789","rock","574007","Tie"
"rock","5137966","rock","633183","Tie"
"rock","5324952","rock","1567994","Tie"
"rock","5518109","rock","685853","Tie"
"rock","5403672","rock","545232","Tie"
"rock","5205575","rock","583940","Tie"
"rock","5326356","rock","550437","Tie"
"rock","3740799","rock","558122","Tie"
"rock","6897550","rock","602866","Tie"
"rock","5310211","rock","575112","Tie"
"rock","5462636","rock","679708","Tie"
"rock","5146219","rock","656727","Tie"
"rock","5178875","rock","558252","Tie"
"rock","5342186","rock","591059","Tie"
"rock","4581318","rock","636310","Tie"
"rock","6005079","rock","592319","Tie"
"rock","5339607","rock","572797","Tie"
"rock","5463982","rock","585150","Tie"
"rock","5202296","rock","592985","Tie"
"rock","5319744","rock","573573","Tie"
"rock","2985382","rock","638068","Tie"
"rock","3781101","rock","606776","Tie"
"rock","5342260","rock","705581","Tie"
"rock","5331212","rock","583322","Tie"
