"pinky","hummingbird","Clients TIE!"
"1","3","996"
"scissors","8504745","scissors","5116945","Tie"
"scissors","8322434","scissors","1756280","Tie"
"scissors","10511120","scissors","2496685","Tie"
"paper","9175994","scissors","1357702","hummingbird won"
"scissors","9443979","scissors","5286793","Tie"
"scissors","12955864","scissors","5003153","Tie"
"scissors","16862180","scissors","4140069","Tie"
"scissors","6925534","scissors","1870830","Tie"
"scissors","13542893","scissors","1523550","Tie"
"scissors","9271895","scissors","5230821","Tie"
"scissors","7050920","scissors","5253927","Tie"
"scissors","12282996","scissors","1998448","Tie"
"scissors","10944270","scissors","2914234","Tie"
"scissors","7141762","scissors","5194138","Tie"
"scissors","8488332","scissors","5058909","Tie"
"scissors","12972448","scissors","1651779","Tie"
"scissors","9848773","scissors","1815568","Tie"
"scissors","7208816","scissors","5202046","Tie"
"scissors","8619521","scissors","4698728","Tie"
"scissors","12994834","scissors","4922963","Tie"
"scissors","9762417","scissors","1725666","Tie"
"scissors","7904379","scissors","5296958","Tie"
"scissors","14082430","scissors","1923269","Tie"
"scissors","8603311","scissors","8592137","Tie"
"scissors","9885243","scissors","1682719","Tie"
"scissors","8817244","scissors","8806394","Tie"
"scissors","13540400","scissors","1575046","Tie"
"scissors","9279511","scissors","5223998","Tie"
"scissors","9055871","scissors","9044485","Tie"
"scissors","10329086","scissors","2314965","Tie"
"scissors","8454256","scissors","5099506","Tie"
"scissors","10206480","scissors","1781742","Tie"
"scissors","8946605","scissors","4950452","Tie"
"scissors","9378700","scissors","9368160","Tie"
"scissors","9288683","scissors","1914976","Tie"
"scissors","9506996","scissors","1921218","Tie"
"scissors","12590025","scissors","5265052","Tie"
"scissors","8099004","scissors","1866198","Tie"
"scissors","14239335","scissors","1558251","Tie"
"scissors","5894638","scissors","4766944","Tie"
"scissors","8922027","scissors","3885865","Tie"
"scissors","6981285","scissors","6970681","Tie"
"scissors","10826176","scissors","2666186","Tie"
"scissors","6412042","scissors","4771066","Tie"
"scissors","9585138","scissors","1688508","Tie"
"scissors","9679828","scissors","5573753","Tie"
"scissors","10955104","scissors","1498932","Tie"
"scissors","8648341","scissors","1771515","Tie"
"scissors","8473672","scissors","2217126","Tie"
"scissors","11181786","scissors","3338799","Tie"
"scissors","9970975","scissors","1728973","Tie"
"scissors","9178578","scissors","5148056","Tie"
"scissors","8478994","scissors","5343565","Tie"
"scissors","8919777","scissors","3216204","Tie"
"scissors","6871446","scissors","1699848","Tie"
"scissors","8992116","scissors","4886761","Tie"
"scissors","8990197","scissors","5025399","Tie"
"scissors","8132231","scissors","5171389","Tie"
"scissors","10342109","scissors","2290536","Tie"
"scissors","8952704","scissors","5061365","Tie"
"scissors","12464506","scissors","5343811","Tie"
"scissors","11796581","scissors","2051521","Tie"
"scissors","12158939","scissors","2037879","Tie"
"scissors","11031228","scissors","2683108","Tie"
"scissors","6433674","scissors","4689794","Tie"
"scissors","7222840","scissors","1657249","Tie"
"scissors","9559975","scissors","5327115","Tie"
"scissors","11451708","scissors","5015498","Tie"
"scissors","10817209","scissors","2793022","Tie"
"scissors","6423136","scissors","3164370","Tie"
"scissors","9854182","scissors","1742437","Tie"
"scissors","8948833","scissors","2106538","Tie"
"scissors","9131434","scissors","9120398","Tie"
"scissors","9410201","scissors","5170114","Tie"
"scissors","15168047","scissors","3656978","Tie"
"scissors","11342820","scissors","3356268","Tie"
"scissors","6930402","scissors","4214510","Tie"
"scissors","11474159","scissors","3490981","Tie"
"scissors","9451359","scissors","3329515","Tie"
"scissors","11157748","scissors","3128829","Tie"
"scissors","9865019","scissors","1654447","Tie"
"scissors","8906443","scissors","1469284","Tie"
"scissors","9342910","scissors","1442887","Tie"
"scissors","12589017","scissors","4548290","Tie"
"scissors","12684233","scissors","4667216","Tie"
"scissors","13655995","scissors","1650230","Tie"
"scissors","7897458","scissors","4608283","Tie"
"scissors","7134296","scissors","5422247","Tie"
"scissors","11689054","scissors","1592578","Tie"
"scissors","11067766","scissors","3102412","Tie"
"scissors","7688780","scissors","4104328","Tie"
"scissors","9753667","scissors","1934631","Tie"
"scissors","11561594","scissors","6791125","Tie"
"scissors","13910757","scissors","2018551","Tie"
"scissors","10080179","scissors","1884626","Tie"
"scissors","7496223","scissors","5059441","Tie"
"scissors","6626282","scissors","4320251","Tie"
"scissors","9296322","scissors","3576386","Tie"
"scissors","4655348","scissors","2488532","Tie"
"scissors","7803723","scissors","5405253","Tie"
"scissors","11767342","scissors","4427251","Tie"
"scissors","9834699","scissors","1904618","Tie"
"scissors","7545116","scissors","4845562","Tie"
"scissors","8495980","scissors","4449950","Tie"
"scissors","8787004","scissors","1701512","Tie"
"scissors","16283471","scissors","1863917","Tie"
"scissors","8775472","scissors","4419323","Tie"
"scissors","20829813","scissors","1908797","Tie"
"scissors","9448188","scissors","3301190","Tie"
"scissors","9023865","scissors","1916085","Tie"
"scissors","13673679","scissors","5349881","Tie"
"scissors","11923034","scissors","4829316","Tie"
"scissors","7407929","scissors","1963678","Tie"
"scissors","6570550","scissors","4405830","Tie"
"scissors","9655592","scissors","1625053","Tie"
"scissors","8404727","scissors","5093748","Tie"
"scissors","5023338","scissors","4607171","Tie"
"scissors","19864893","scissors","3896640","Tie"
"scissors","12173556","scissors","5249676","Tie"
"scissors","5200423","scissors","4780396","Tie"
"scissors","5158864","scissors","4741058","Tie"
"scissors","7250258","scissors","4886135","Tie"
"scissors","9280691","scissors","5303575","Tie"
"scissors","9132601","scissors","5111683","Tie"
"scissors","9317476","scissors","5207532","Tie"
"scissors","7755538","scissors","5192887","Tie"
"scissors","6399315","scissors","4424575","Tie"
"scissors","9044283","scissors","4032003","Tie"
"scissors","8729056","scissors","4257243","Tie"
"scissors","9214782","scissors","4902245","Tie"
"scissors","5047836","scissors","4622118","Tie"
"scissors","7121280","scissors","4868480","Tie"
"scissors","8103768","scissors","5070877","Tie"
"scissors","21848447","scissors","3760815","Tie"
"scissors","12543468","scissors","3228622","Tie"
"scissors","9081219","scissors","4880847","Tie"
"scissors","10311504","scissors","1950677","Tie"
"scissors","8609985","scissors","3100010","Tie"
"scissors","7641655","scissors","1853655","Tie"
"scissors","8993016","scissors","2577851","Tie"
"scissors","9831045","scissors","1825523","Tie"
"scissors","7512661","scissors","1807873","Tie"
"scissors","7544096","scissors","1583245","Tie"
"scissors","7330002","scissors","5043011","Tie"
"scissors","10436052","scissors","2428778","Tie"
"scissors","18958083","scissors","2407057","Tie"
"scissors","8150268","scissors","3279615","Tie"
"scissors","10064578","scissors","2082684","Tie"
"scissors","13251883","scissors","1989025","Tie"
"scissors","6207253","scissors","5146017","Tie"
"scissors","5956994","scissors","4296168","Tie"
"scissors","5469317","scissors","5052917","Tie"
"scissors","7680901","scissors","4878648","Tie"
"scissors","6182384","scissors","6172183","Tie"
"scissors","10123271","scissors","2207132","Tie"
"scissors","12640818","scissors","4712703","Tie"
"scissors","11101865","scissors","1791999","Tie"
"scissors","8534422","scissors","2583469","Tie"
"scissors","9706178","scissors","9695413","Tie"
"scissors","12675867","scissors","4500395","Tie"
"scissors","8547710","scissors","2658635","Tie"
"scissors","7620404","scissors","2192065","Tie"
"scissors","11788074","scissors","3755225","Tie"
"scissors","8667365","scissors","3138300","Tie"
"scissors","12496339","scissors","2386575","Tie"
"scissors","8755229","scissors","3000377","Tie"
"scissors","10478372","scissors","2467465","Tie"
"scissors","9119531","scissors","9108396","Tie"
"scissors","9190927","scissors","3396610","Tie"
"scissors","14097901","scissors","1978685","Tie"
"scissors","11106383","scissors","1670386","Tie"
"scissors","9511344","scissors","2491475","Tie"
"scissors","10290609","scissors","2106056","Tie"
"scissors","8854202","scissors","8843377","Tie"
"scissors","9558273","scissors","1522166","Tie"
"scissors","9149444","scissors","9139088","Tie"
"scissors","9055703","scissors","5174963","Tie"
"scissors","9090170","scissors","4551219","Tie"
"scissors","13773520","scissors","5164773","Tie"
"scissors","7382780","scissors","5266657","Tie"
"scissors","10090876","scissors","1993071","Tie"
"scissors","7170243","scissors","4918855","Tie"
"scissors","11775254","scissors","3778922","Tie"
"scissors","6694821","scissors","1518857","Tie"
"scissors","9541482","scissors","1634508","Tie"
"scissors","9148514","scissors","5232417","Tie"
"scissors","13282568","scissors","4461804","Tie"
"scissors","11204857","scissors","3125446","Tie"
"scissors","6589327","scissors","1651927","Tie"
