"Avalanch","AssClown","The winner is AssClown"
"2","997","1"
"rock","4546448","paper","4936556","AssClown won"
"rock","4726131","paper","5115599","AssClown won"
"rock","5265038","paper","5306842","AssClown won"
"rock","5257321","paper","5299854","AssClown won"
"rock","5168335","paper","5860561","AssClown won"
"rock","3159658","paper","7130210","AssClown won"
"rock","5127299","paper","5522734","AssClown won"
"rock","3086197","paper","7630386","AssClown won"
"rock","5042016","paper","5083251","AssClown won"
"rock","4711407","paper","5102022","AssClown won"
"rock","4709985","paper","5096451","AssClown won"
"rock","5273490","paper","5313095","AssClown won"
"rock","4618555","paper","5005862","AssClown won"
"rock","4720296","paper","5112368","AssClown won"
"rock","5277447","paper","5319116","AssClown won"
"rock","3353525","paper","3113327","AssClown won"
"rock","6312731","paper","6698915","AssClown won"
"rock","4733185","paper","13664457","AssClown won"
"rock","3350657","paper","7311307","AssClown won"
"rock","5134755","paper","5528889","AssClown won"
"rock","4818880","paper","5218806","AssClown won"
"rock","5144029","paper","5185225","AssClown won"
"rock","3622037","paper","4013256","AssClown won"
"rock","5757193","paper","6146417","AssClown won"
"rock","4727474","paper","5114453","AssClown won"
"rock","5268466","paper","5310113","AssClown won"
"rock","4648724","paper","5045027","AssClown won"
"rock","5247813","paper","5288961","AssClown won"
"rock","4708622","paper","5098267","AssClown won"
"rock","4738911","paper","5124760","AssClown won"
"rock","4710272","paper","5108544","AssClown won"
"rock","4730839","paper","5127806","AssClown won"
"rock","4717544","paper","5108968","AssClown won"
"rock","3689167","paper","4083976","AssClown won"
"rock","5702610","paper","6098327","AssClown won"
"rock","5286411","paper","5327988","AssClown won"
"rock","4746804","paper","5159229","AssClown won"
"rock","4547082","paper","5056854","AssClown won"
"rock","4604451","paper","4997585","AssClown won"
"rock","5150497","paper","5190674","AssClown won"
"rock","4904834","paper","4674037","AssClown won"
"rock","4355910","paper","4748706","AssClown won"
