"Avalanch","Poop","The winner is Poop"
"0","999","1"
"rock","12541154","paper","13009307","Poop won"
"rock","9102118","paper","9540034","Poop won"
"rock","8485206","paper","8913350","Poop won"
"rock","13523031","paper","14020032","Poop won"
"rock","9868915","paper","11702037","Poop won"
"rock","15958591","paper","16492963","Poop won"
"rock","14695873","paper","15124767","Poop won"
"rock","10342956","paper","10809634","Poop won"
"rock","8948530","paper","8960962","Poop won"
"rock","8566763","paper","8996901","Poop won"
"rock","9325113","paper","9337202","Poop won"
"rock","9740888","paper","9752272","Poop won"
"rock","11722435","paper","12158267","Poop won"
"rock","9465763","paper","9924723","Poop won"
"rock","8608800","paper","9087945","Poop won"
"rock","9166513","paper","13259317","Poop won"
"rock","8859543","paper","9301286","Poop won"
"rock","8556794","paper","9030765","Poop won"
"rock","11776726","paper","12257619","Poop won"
"rock","8859882","paper","9285363","Poop won"
"rock","12458640","paper","12951461","Poop won"
"rock","10618847","paper","11057639","Poop won"
"rock","9998379","paper","10429848","Poop won"
"rock","12010313","paper","12473461","Poop won"
"rock","13851327","paper","13900748","Poop won"
"rock","8405002","paper","8835225","Poop won"
"rock","7661628","paper","8157277","Poop won"
"rock","9182016","paper","9635613","Poop won"
"rock","10963903","paper","11396096","Poop won"
"rock","9109041","paper","9594474","Poop won"
"rock","11023353","paper","11469383","Poop won"
"rock","9589680","paper","10019756","Poop won"
"rock","11720801","paper","12158026","Poop won"
"rock","11407525","paper","11859574","Poop won"
"rock","9896406","paper","10323955","Poop won"
"rock","11728160","paper","12160694","Poop won"
"rock","11632679","paper","12082200","Poop won"
"rock","6948722","paper","7390980","Poop won"
"rock","8263726","paper","8808870","Poop won"
"rock","11416330","paper","11878402","Poop won"
"rock","9301813","paper","9835602","Poop won"
"rock","7177487","paper","7611397","Poop won"
"rock","9143432","paper","9622074","Poop won"
"rock","11454380","paper","11925811","Poop won"
"rock","9190038","paper","9619773","Poop won"
"rock","13412899","paper","13424592","Poop won"
"rock","10694565","paper","11137098","Poop won"
"rock","9031746","paper","9465058","Poop won"
"rock","13387512","paper","13399576","Poop won"
"rock","11304282","paper","10744501","Poop won"
"rock","9712946","paper","10143575","Poop won"
"rock","15603874","paper","16075128","Poop won"
"rock","11950297","paper","13283431","Poop won"
"rock","7969712","paper","8400425","Poop won"
"rock","7933596","paper","13114786","Poop won"
"rock","9299083","paper","9753734","Poop won"
"rock","6767915","paper","6779740","Poop won"
"rock","9198810","paper","9630823","Poop won"
"rock","14869595","paper","14962928","Poop won"
"rock","16104477","paper","16545270","Poop won"
"rock","15456502","paper","15517632","Poop won"
"rock","9387940","paper","9796269","Poop won"
"rock","8809596","paper","9413546","Poop won"
"rock","10333608","paper","10779765","Poop won"
"rock","10146582","paper","10581121","Poop won"
"rock","11772035","paper","12206104","Poop won"
"rock","13019386","paper","13031280","Poop won"
"rock","9376837","paper","9800911","Poop won"
"rock","8403949","paper","8841034","Poop won"
"rock","9071354","paper","9083522","Poop won"
"rock","12400007","paper","12837706","Poop won"
"rock","7594934","paper","8036909","Poop won"
"rock","15146703","paper","15230449","Poop won"
"rock","9265325","paper","9694030","Poop won"
"rock","7346244","paper","7778993","Poop won"
"rock","9687096","paper","10179746","Poop won"
"rock","8134924","paper","8580912","Poop won"
"rock","8432161","paper","8860543","Poop won"
"rock","10495450","paper","10545996","Poop won"
"rock","13388978","paper","13831319","Poop won"
"rock","9444995","paper","9880722","Poop won"
"rock","11813982","paper","12253036","Poop won"
"rock","11502917","paper","11982297","Poop won"
"rock","14893136","paper","14958671","Poop won"
"rock","9389778","paper","9821619","Poop won"
"rock","8563828","paper","9054845","Poop won"
"rock","15504085","paper","15585201","Poop won"
"rock","9415618","paper","9850030","Poop won"
"rock","8719733","paper","9222583","Poop won"
"rock","19827364","paper","19892304","Poop won"
"rock","9395866","paper","9823299","Poop won"
"rock","12836824","paper","13312901","Poop won"
"rock","7111648","paper","7554282","Poop won"
"rock","8669040","paper","9122954","Poop won"
"rock","9428792","paper","9919941","Poop won"
"rock","10571230","paper","11138031","Poop won"
"rock","10654839","paper","10704727","Poop won"
"rock","7825126","paper","11723885","Poop won"
